metric,five_year_average,n_companies,n_observations,status,comment
pe,20.8176,3,6,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: GOLD"
ps,3.9936,3,6,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: GOLD"
pb,2.6303,3,6,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: GOLD"
ev_ebitda,8.865475,2,5,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: GOLD"
fcf_yield,0.049783,3,6,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: GOLD"
net_margin,0.0954,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,0.22555,2,10,ok,"two-level median: per-company 5Y median, then median across companies"
revenue_growth_yoy,0.0631,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,-0.1698,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
