metric,five_year_average,n_companies,n_observations,status,comment
pe,28.19855,6,29,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: ASML, TSM"
ps,9.5615,6,30,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: ASML, TSM"
pb,8.8324,6,30,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: ASML, TSM"
ev_ebitda,13.6494,3,15,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: ASML, TSM"
fcf_yield,0.019732,6,28,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: ASML, TSM"
net_margin,0.3153,8,39,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,0.5524,7,34,ok,"two-level median: per-company 5Y median, then median across companies"
revenue_growth_yoy,0.217325,8,39,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,0.33615,8,39,ok,"two-level median: per-company 5Y median, then median across companies"
