metric,five_year_average,n_companies,n_observations,status,comment
pe,12.0457,7,34,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ps,1.3205,7,35,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
pb,1.8979,7,35,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ev_ebitda,7.3193,7,35,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
fcf_yield,0.05692,6,29,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
net_margin,0.11175,8,40,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,0.268,1,5,ok,"two-level median: per-company 5Y median, then median across companies"
revenue_growth_yoy,0.0288,8,40,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,0.1617,8,40,ok,"two-level median: per-company 5Y median, then median across companies"
