metric,five_year_average,n_companies,n_observations,status,comment
pe,23.18565,5,21,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ps,4.7215,5,21,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
pb,5.783,5,20,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ev_ebitda,,0,0,missing,no valid observations across the basket; excluded from price metrics: none
fcf_yield,0.05667,4,17,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
net_margin,0.2188,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,0.6882,1,5,ok,"two-level median: per-company 5Y median, then median across companies"
revenue_growth_yoy,0.0674,5,24,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,0.1761,5,24,ok,"two-level median: per-company 5Y median, then median across companies"
