metric,five_year_average,n_companies,n_observations,status,comment
pe,19.52545,5,9,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ps,3.1358,5,9,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
pb,2.2455,5,9,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ev_ebitda,15.7435,5,8,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
fcf_yield,0.055647,1,1,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
net_margin,0.1482,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,,0,0,missing,no valid observations across the basket
revenue_growth_yoy,0.0867,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,0.1141,5,25,ok,"two-level median: per-company 5Y median, then median across companies"
