metric,value,n_companies,n_observations,status,comment
pe,13.6502,5,5,ok,MEDIAN current TTM snapshot as of 2026-03-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,2.65905,2,2,ok,MEDIAN current TTM snapshot as of 2026-03-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,1.9799,5,5,ok,MEDIAN current TTM snapshot as of 2026-03-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,,0,0,missing,no valid current observations across the basket; excluded from price metrics: none
fcf_yield,,0,0,missing,no valid current observations across the basket; excluded from price metrics: none
net_margin,0.21885,2,2,ok,MEDIAN current TTM snapshot as of 2026-03-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0621,2,2,ok,MEDIAN current TTM snapshot as of 2026-03-10
earnings_growth_yoy,0.1311,5,5,ok,MEDIAN current TTM snapshot as of 2026-03-10
