symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
NEE,0000753308,current,2026-03-31,USD,93.1,2026-05-08,2085341456,2026-03-31,8183000000.0,26000000000.0,,8232000000.0,6856000000.0,12330000000.0,,55222000000,,1998000000,194145289554.0,192147289554.0,15088000000.0,,23.7254,7.4671,3.5157,12.7351,,0.3147,,0.0833,0.4851,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10,ok,
DUK,0001326160,current,2026-03-31,USD,124.17,2026-05-08,779596217,2026-04-30,5139000000.0,32518000000.0,,9008000000.0,7897000000.0,11665000000.0,14964000000.0,54457000000,80108000000,2140000000,96802462265.0,174770462265.0,16905000000.0,-3299000000.0,18.8368,2.9769,1.7776,10.3384,-0.03408,0.158,,0.058,0.0785,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10,ok,
SO,0000092122,current,2026-03-31,USD,91.8,2026-05-08,1127301098,2026-03-31,4336000000.0,30174000000.0,,7293000000.0,6199000000.0,9778000000.0,13244000000.0,39912000000,67148000000,981000000,103486240796.0,169653240796.0,13492000000.0,-3466000000.0,23.8668,3.4296,2.5929,12.5744,-0.033492,0.1437,,0.0833,-0.0555,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10,ok,
AEP,0000004904,current,2026-03-31,USD,130.16,2026-05-08,544104955,2026-05-05,3796800000.0,22207900000.0,,5394800000.0,,7013000000.0,4418000000.0,31808000000,49554000000,306000000,70820700943.0,120068700943.0,,2595000000.0,18.6527,3.189,2.2265,,0.036642,0.171,,0.0825,0.3695,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10,ok,
D,0000715957,current,2026-03-31,USD,61.89,2026-05-08,879455403,2026-04-24,2954000000.0,17521000000.0,,4583000000.0,2436000000.0,5060000000.0,,29147000000,45110000000,351000000,54429494892.0,99188494892.0,7019000000.0,,18.4257,3.1065,1.8674,14.1314,,0.1686,,0.175,0.2866,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10,ok,
BASKET_AVG,,current,2026-05-10,USD,,,,,,,,,,,,,,,,,,,18.8368,3.189,2.2265,12.65475,0.036642,0.1686,,0.0833,0.2866,Twelve Data latest close,current TTM basket median filed<=2026-05-10,aggregate,median over current company observations with valid values
