metric,value,n_companies,n_observations,status,comment
pe,13.05135,6,6,ok,MEDIAN current TTM snapshot as of 2026-04-20; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.4681,6,6,ok,MEDIAN current TTM snapshot as of 2026-04-20; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.37885,6,6,ok,MEDIAN current TTM snapshot as of 2026-04-20; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,15.4933,2,2,ok,MEDIAN current TTM snapshot as of 2026-04-20; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.101321,4,4,ok,MEDIAN current TTM snapshot as of 2026-04-20; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.1426,7,7,ok,MEDIAN current TTM snapshot as of 2026-04-20
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0654,7,7,ok,MEDIAN current TTM snapshot as of 2026-04-20
earnings_growth_yoy,-0.0287,7,7,ok,MEDIAN current TTM snapshot as of 2026-04-20
