symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
UNH,0000731766,current,2025-06-30,USD,346.78,2025-09-10,905673625,2025-07-31,21296000000.0,422818000000.0,,30750000000.0,4227000000.0,28958000000.0,3687000000.0,100469000000,76180000000,28596000000,314069499678.0,361653499678.0,34977000000.0,25271000000.0,14.7478,0.7428,3.126,10.3398,0.080463,0.0504,,0.097,0.51,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
PGR,0000080661,current,2025-06-30,USD,246.41,2025-09-10,586208487,2025-06-30,10431900000.0,82408200000.0,,,,16800000000.0,328000000.0,32604000000,6895000000,135000000,144447633282.0,151207633282.0,,16472000000.0,13.8467,1.7528,4.4304,,0.114034,0.1266,,0.2149,0.5119,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
CB,0000896159,current,2025-06-30,USD,277.45,2025-09-10,398690293,2025-07-21,9198000000.0,57213000000.0,,,,14000000000.0,,69395000000,13477000000,2371000000,110616621793.0,121722621793.0,,,12.0262,1.9334,1.594,,,0.1608,,0.0679,-0.0533,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
AIG,0000005272,current,2025-06-30,USD,78.0,2025-09-10,554003850,2025-08-01,3199000000.0,27802000000.0,,,3595000000.0,3159000000.0,,41501000000,8922000000,1841000000,43212300300.0,50293300300.0,,,13.5081,1.5543,1.0412,,,0.1151,,0.0253,-5.9906,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
ALL,0000899051,current,2025-06-30,USD,200.03,2025-09-10,263505334,2025-07-14,5822000000.0,66218000000.0,,,550000000.0,8743000000.0,204000000.0,24019000000,8087000000,995000000,52708971960.0,59800971960.0,,8539000000.0,9.0534,0.796,2.1945,,0.162003,0.0879,,0.0981,0.9196,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
BRK-B,0001067983,current,2025-06-30,USD,,,1643118,2015-09-30,62987000000.0,245667000000.0,,,13083000000.0,27412000000.0,19187000000.0,667989000000,,101228000000,,,,8225000000.0,,,,,,0.2564,,-0.035,-0.0735,missing,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,partial,"nasdaq: no historical rows ({'rCode': 400, 'bCodeMessage': [{'code': 1001, 'errorMessage': 'Symbol not exists.'}], 'developerMessage': None})"
MRSH,0000062709,current,2025-06-30,USD,198.77,2025-09-10,491624043,2025-07-14,4127000000.0,25799000000.0,,6084000000.0,365000000.0,4917000000.0,263000000.0,15976000000,19579000000,1677000000,97720111027.0,115622111027.0,6449000000.0,4654000000.0,23.6782,3.7877,6.1167,17.9287,0.047626,0.16,,0.0918,0.0289,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-09-10,ok,
BASKET_AVG,,current,2025-09-10,USD,,,,,,,,,,,,,,,,,,,13.6774,1.65355,2.66025,14.13425,0.097249,0.1266,,0.0918,0.0289,Twelve Data latest close,current TTM basket median filed<=2025-09-10,aggregate,median over current company observations with valid values
