metric,value,n_companies,n_observations,status,comment
pe,13.6869,5,5,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.366,5,5,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,3.5104,5,5,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,16.5142,2,2,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.096305,4,4,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.1354,6,6,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0619,6,6,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental
earnings_growth_yoy,0.04275,6,6,ok,MEDIAN current TTM snapshot as of 2026-08-10; refresh_mode=incremental
