metric,value,n_companies,n_observations,status,comment
pe,14.8721,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.8173,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,8.221,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,12.9079,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.043098,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.0486,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0195,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10
earnings_growth_yoy,-0.0118,5,5,ok,MEDIAN current TTM snapshot as of 2025-06-10
