anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-03-30,2026-03-30,Banks,1.6201,pb,1.9177,1.0743,1.7851,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-03-30,2026-03-30,Banks,1.6201,pe,13.4157,10.0769,1.3313,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Banks,1.8258,pb,2.1556,1.0743,2.0065,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-10,2026-04-10,Banks,1.8258,pe,15.2102,10.0769,1.5094,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Banks,1.9117,pb,2.2362,1.0743,2.0815,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-20,2026-04-20,Banks,1.9117,pe,16.2692,10.0769,1.6145,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Banks,1.864,pb,2.1935,1.0743,2.0418,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-04-30,2026-04-30,Banks,1.864,pe,15.6492,10.0769,1.553,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Banks,1.8689,pb,2.2236,1.0743,2.0698,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-10,2026-05-08,Banks,1.8689,pe,15.2905,10.0769,1.5174,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Banks,1.8674,pb,2.2227,1.0743,2.069,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Banks,1.8674,pe,15.2628,10.0769,1.5146,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Banks,1.8606,pb,2.2031,1.0743,2.0507,0.6364,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Banks,1.8606,pe,15.3949,10.0769,1.5277,0.3636,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Banks,1.9546,pb,2.4191,1.0743,2.2518,0.6364,build_fy_norm.py --current over SEC EDGAR; fyn_banks_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_banks_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Banks,1.9546,pe,14.4547,10.0769,1.4344,0.3636,build_fy_norm.py --current over SEC EDGAR; fyn_banks_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_banks_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_banks_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Commodities,1.3454,ev_ebitda,16.3945,12.1464,1.3497,0.2941,build_fy_norm.py --current over SEC EDGAR; fyn_commodities_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_commodities_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_commodities_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Commodities,1.3454,fcf_yield,0.052358,0.036034,0.6882,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_commodities_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_commodities_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_commodities_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Commodities,1.3454,pb,4.42825,2.33255,1.8985,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_commodities_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_commodities_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_commodities_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Commodities,1.3454,pe,37.1715,25.7377,1.4442,0.2353,build_fy_norm.py --current over SEC EDGAR; fyn_commodities_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_commodities_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_commodities_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Consumer Discretionary,0.5755,pe,18.7669,31.6982,0.592,0.3333,build_fy_norm.py --current over SEC EDGAR; fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_consumer_discretionary_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Consumer Discretionary,0.5755,ev_ebitda,14.1467,22.34875,0.633,0.2778,build_fy_norm.py --current over SEC EDGAR; fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_consumer_discretionary_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Consumer Discretionary,0.5755,ps,1.51125,3.56465,0.424,0.2222,build_fy_norm.py --current over SEC EDGAR; fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_consumer_discretionary_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Consumer Discretionary,0.5755,fcf_yield,0.049508,0.032105,0.6485,0.1667,build_fy_norm.py --current over SEC EDGAR; fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_consumer_discretionary_norm_summary.csv; aggregate=median,ok
2026-09-12,2026-09-11,Delivery & Logistics,1.3681,ev_ebitda,17.0998,13.3524,1.2807,0.4,build_fy_norm.py --current over SEC EDGAR; fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_delivery_logistics_norm_summary.csv; aggregate=median,ok
2026-09-12,2026-09-11,Delivery & Logistics,1.3681,pe,18.6736,15.1999,1.2285,0.3333,build_fy_norm.py --current over SEC EDGAR; fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_delivery_logistics_norm_summary.csv; aggregate=median,ok
2026-09-12,2026-09-11,Delivery & Logistics,1.3681,ps,2.4881,1.4866,1.6737,0.2667,build_fy_norm.py --current over SEC EDGAR; fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_delivery_logistics_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_delivery_logistics_norm_summary.csv; aggregate=median,ok
