metric,value,n_companies,n_observations,status,comment
pe,18.8845,5,5,ok,MEDIAN current TTM snapshot as of 2025-04-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.89945,6,6,ok,MEDIAN current TTM snapshot as of 2025-04-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,3.94555,6,6,ok,MEDIAN current TTM snapshot as of 2025-04-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,16.3407,1,1,ok,MEDIAN current TTM snapshot as of 2025-04-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.065356,4,4,ok,MEDIAN current TTM snapshot as of 2025-04-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.1125,7,7,ok,MEDIAN current TTM snapshot as of 2025-04-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0771,7,7,ok,MEDIAN current TTM snapshot as of 2025-04-10
earnings_growth_yoy,-0.0774,7,7,ok,MEDIAN current TTM snapshot as of 2025-04-10
