metric,value,n_companies,n_observations,status,comment
pe,25.4475,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,6.0947,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,9.3283,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,19.2426,5,5,ok,MEDIAN current TTM snapshot as of 2025-10-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.047292,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.243,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10
gross_margin,0.73235,6,6,ok,MEDIAN current TTM snapshot as of 2025-10-10
revenue_growth_yoy,0.1067,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10
earnings_growth_yoy,0.1831,9,9,ok,MEDIAN current TTM snapshot as of 2025-10-10
