metric,value,n_companies,n_observations,status,comment
pe,23.25375,4,4,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,3.07355,6,6,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.9805,6,6,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,18.0968,4,4,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.056276,3,3,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.0853,6,6,ok,MEDIAN current TTM snapshot as of 2025-09-10
gross_margin,0.3393,5,5,ok,MEDIAN current TTM snapshot as of 2025-09-10
revenue_growth_yoy,0.0383,6,6,ok,MEDIAN current TTM snapshot as of 2025-09-10
earnings_growth_yoy,0.3422,6,6,ok,MEDIAN current TTM snapshot as of 2025-09-10
