date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2026-04-10,Semiconductors,1.6417,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; ps: 1.2063 x 26.7% | pb: 1.3559 x 20.0% | ev_ebitda: 2.5194 x 33.3% | gross_margin: 1.0451 x 20.0%
2026-04-10,Technology,0.7207,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; pe: 0.7714 x 28.6% | ev_ebitda: 0.6293 x 28.6% | ps: 0.7877 x 28.6% | fcf_yield: 0.6680 x 14.3%
2026-04-20,Banks,1.9117,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; pb: 2.0815 x 63.6% | pe: 1.6145 x 36.4%
2026-04-20,Energy,1.5098,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; ev_ebitda: 1.0175 x 33.3% | fcf_yield: 2.0378 x 33.3% | pe: 2.0313 x 16.7% | pb: 0.9172 x 16.7%
2026-04-20,Mining,1.5363,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; ev_ebitda: 1.3700 x 29.4% | fcf_yield: 2.2474 x 23.5% | pb: 1.4025 x 23.5% | pe: 1.1669 x 23.5%
2026-04-20,Semiconductors,1.7647,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; ps: 1.3535 x 26.7% | pb: 1.4756 x 20.0% | ev_ebitda: 2.6989 x 33.3% | gross_margin: 1.0451 x 20.0%
2026-04-20,Technology,0.8304,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; pe: 0.8696 x 28.6% | ev_ebitda: 0.6891 x 28.6% | ps: 0.9464 x 28.6% | fcf_yield: 0.8026 x 14.3%
2026-04-30,Banks,1.864,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-30; status=ok; pb: 2.0418 x 63.6% | pe: 1.5530 x 36.4%
2026-04-30,Energy,1.6575,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-30; status=ok; ev_ebitda: 1.1070 x 33.3% | fcf_yield: 2.3147 x 33.3% | pe: 2.1228 x 16.7% | pb: 0.9790 x 16.7%
2026-04-30,Mining,1.25,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-30; status=ok; ev_ebitda: 1.1405 x 29.4% | fcf_yield: 1.6350 x 23.5% | pb: 1.2910 x 23.5% | pe: 0.9607 x 23.5%
2026-04-30,Semiconductors,1.9087,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-30; status=ok; ps: 1.7451 x 26.7% | pb: 1.7262 x 20.0% | ev_ebitda: 2.6656 x 33.3% | gross_margin: 1.0478 x 20.0%
2026-04-30,Technology,0.7108,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-30; status=ok; pe: 0.7425 x 28.6% | ev_ebitda: 0.6136 x 28.6% | ps: 0.7857 x 28.6% | fcf_yield: 0.6919 x 14.3%
2026-05-10,Banks,1.8689,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-08; status=ok; pb: 2.0698 x 63.6% | pe: 1.5174 x 36.4%
2026-05-10,Energy,1.6207,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-08; status=ok; ev_ebitda: 0.9882 x 33.3% | fcf_yield: 2.3044 x 33.3% | pe: 2.2540 x 16.7% | pb: 0.8849 x 16.7%
2026-05-10,Mining,1.2692,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-08; status=ok; ev_ebitda: 1.1030 x 29.4% | fcf_yield: 1.7644 x 23.5% | pb: 1.3540 x 23.5% | pe: 0.8970 x 23.5%
2026-05-10,Semiconductors,2.0451,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-08; status=ok; ps: 1.9645 x 26.7% | pb: 1.7675 x 20.0% | ev_ebitda: 2.8745 x 33.3% | gross_margin: 1.0478 x 20.0%
2026-05-10,Technology,0.7253,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-08; status=ok; pe: 0.7518 x 28.6% | ev_ebitda: 0.6184 x 28.6% | ps: 0.8112 x 28.6% | fcf_yield: 0.7144 x 14.3%
2026-05-20,Banks,1.8674,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-20; status=ok; pb: 2.0690 x 63.6% | pe: 1.5146 x 36.4%
2026-05-20,Energy,1.7423,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-20; status=ok; ev_ebitda: 1.0702 x 33.3% | fcf_yield: 2.4564 x 33.3% | pe: 2.4366 x 16.7% | pb: 0.9638 x 16.7%
2026-05-20,Mining,1.1721,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-20; status=ok; ev_ebitda: 1.0899 x 29.4% | fcf_yield: 1.6744 x 23.5% | pb: 1.2480 x 23.5% | pe: 0.6967 x 23.5%
2026-05-20,Semiconductors,1.9174,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-20; status=ok; ps: 1.9128 x 26.7% | pb: 1.8724 x 20.0% | ev_ebitda: 2.4699 x 33.3% | gross_margin: 1.0478 x 20.0%
2026-05-20,Technology,0.7542,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-20; status=ok; pe: 0.7447 x 28.6% | ev_ebitda: 0.6210 x 28.6% | ps: 0.8694 x 28.6% | fcf_yield: 0.8094 x 14.3%
2026-05-30,Banks,1.8606,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-29; status=ok; pb: 2.0507 x 63.6% | pe: 1.5277 x 36.4%
2026-05-30,Energy,1.6365,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-29; status=ok; ev_ebitda: 1.0133 x 33.3% | fcf_yield: 2.3100 x 33.3% | pe: 2.2648 x 16.7% | pb: 0.9077 x 16.7%
2026-05-30,Mining,1.2468,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-29; status=ok; ev_ebitda: 1.1712 x 29.4% | fcf_yield: 1.8399 x 23.5% | pb: 1.2761 x 23.5% | pe: 0.7188 x 23.5%
2026-05-30,Semiconductors,1.9411,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-29; status=ok; ps: 1.9900 x 26.7% | pb: 1.8773 x 20.0% | ev_ebitda: 2.4761 x 33.3% | gross_margin: 1.0478 x 20.0%
2026-05-30,Technology,0.835,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-05-29; status=ok; pe: 0.8695 x 28.6% | ev_ebitda: 0.6568 x 28.6% | ps: 0.9089 x 28.6% | fcf_yield: 0.9745 x 14.3%
2026-09-11,Agriculture & Chemicals,1.6063,sector_score,,,build_fy_norm.py --current over SEC EDGAR; fyn_agriculture_chemicals_current_summary.csv; price source: Nasdaq historical API close,actual_trading_date=2026-09-10; status=ok; pe: 1.0337 x 29.4% | ev_ebitda: 2.7527 x 29.4% | ps: 0.9626 x 23.5% | fcf_yield: 1.5083 x 17.6%
2026-09-11,Banks,1.9546,sector_score,,,build_fy_norm.py --current over SEC EDGAR; fyn_banks_current_summary.csv; price source: Nasdaq historical API close,actual_trading_date=2026-09-10; status=ok; pb: 2.2518 x 63.6% | pe: 1.4344 x 36.4%
2026-09-11,Commodities,1.3454,sector_score,,,build_fy_norm.py --current over SEC EDGAR; fyn_commodities_current_summary.csv; price source: Nasdaq historical API close,actual_trading_date=2026-09-10; status=ok; ev_ebitda: 1.3497 x 29.4% | fcf_yield: 0.6882 x 23.5% | pb: 1.8985 x 23.5% | pe: 1.4442 x 23.5%
2026-09-11,Consumer Discretionary,0.5755,sector_score,,,build_fy_norm.py --current over SEC EDGAR; fyn_consumer_discretionary_current_summary.csv; price source: Nasdaq historical API close,actual_trading_date=2026-09-10; status=ok; pe: 0.5920 x 33.3% | ev_ebitda: 0.6330 x 27.8% | ps: 0.4240 x 22.2% | fcf_yield: 0.6485 x 16.7%
