symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
FCX,0000831259,current,2026-06-30,USD,71.21,2026-09-10,1436017523,2026-07-31,2235000000.0,25257000000.0,,6923000000.0,2147000000.0,5900000000.0,4295000000.0,20109000000,9386000000,4080000000,102258807813.0,107564807813.0,9070000000.0,1605000000.0,45.7534,4.0487,5.0852,11.8594,0.015695,0.0885,,-0.0157,1.2085,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
SCCO,0001001838,current,2026-06-30,USD,194.14,2026-09-10,834331706,2026-07-30,5665600000.0,15787500000.0,,8982800000.0,890200000.0,6736900000.0,1636500000.0,12632200000,6750700000,5665000000,161977157403.0,163062857403.0,9873000000.0,5100400000.0,28.5896,10.2598,12.8226,16.516,0.031488,0.3589,,0.328,0.5694,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
ALB,0000915913,current,2026-06-30,USD,122.11,2026-09-10,118005057,2026-07-29,224177000.0,5907904000.0,1406811000.0,252078000.0,641799000.0,1800328000.0,457956000.0,10275169000,1876784000,1631688000,14409597510.0,14654693510.0,893877000.0,1342372000.0,64.2778,2.439,1.4024,16.3945,0.093158,0.0379,0.2381,0.1832,-1.2412,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
NEM,0001164727,current,2026-06-30,USD,126.14,2026-09-10,1053692271,2026-07-16,8597000000.0,25767000000.0,,,2544000000.0,12628000000.0,2895000000.0,35243000000,5083000000,9009000000,132912743064.0,128986743064.0,,9733000000.0,15.4604,5.1583,3.7713,,0.073228,0.3336,,0.2518,0.3696,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
BASKET_AVG,,current,2026-09-11,USD,,,,,,,,,,,,,,,,,,,37.1715,4.6035,4.42825,16.3945,0.052358,0.21105,0.2381,0.2175,0.4695,current EOD close,current TTM basket median; refresh_mode=incremental,aggregate,median over current company observations; refresh_mode=incremental
