symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
WELL,0000766704,current,2026-06-20,USD,206.65,2026-06-18,705914450,2026-04-24,1431903000.0,9369397000.0,,,2221751000.0,2952730000.0,,43793675000,17933568000,4703775000,1.45877e+11,1.59107e+11,,,101.876,15.5695,3.33101,,,0.1528,,0.4345,0.3291,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
PLD,0001045609,current,2026-06-20,USD,140.54,2026-06-18,932338000,2026-04-28,3907755000.0,8948185000.0,,4690506000.0,2705476000.0,5135817000.0,,53503401000,34669592000,861144000,1.31031e+11,1.64839e+11,7395982000.0,,33.531,14.6433,2.44902,22.2877,,0.4367,,0.0672,-0.0006,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
EQIX,0001101239,current,2026-06-20,USD,1092.19,2026-06-18,98624248,2026-04-28,1421000000.0,9436000000.0,,1967000000.0,2112000000.0,3819000000.0,4817000000.0,14298000000,19785000000,1362000000,1.07716e+11,1.26139e+11,4079000000.0,-998000000.0,75.8032,11.4155,7.53367,30.9241,,0.1506,,0.0667,0.5329,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
AMT,0001053507,current,2026-06-20,USD,176.05,2026-06-18,465893069,2026-04-21,3008400000.0,926000000.0,,4830900000.0,2067300000.0,5569600000.0,1798800000.0,3522600000,31202500000,1608800000,8.20205e+10,1.11614e+11,6898200000.0,3770800000.0,27.2638,88.575,23.2841,16.1802,0.0459739,3.2488,,-0.707,0.6199,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
O,0000726728,current,2026-06-20,USD,60.24,2026-06-18,932492530,2026-04-30,1129710000.0,5917599000.0,,,2545540000.0,4081740000.0,,39147485000,,373543000,5.61734e+10,5.57998e+10,,,49.7237,9.49259,1.43492,,,0.1909,,0.0976,0.1528,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
DLR,0001297996,current,2026-06-20,USD,188.15,2026-06-18,351406070,2026-04-29,1382465000.0,6340228000.0,,730548000.0,1951138000.0,2545472000.0,,23368753000,,2426631000,6.61171e+10,6.36904e+10,2681686000.0,,47.8255,10.4282,2.82929,23.7501,,0.218,,0.1259,2.3169,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
VICI,0001705696,current,2026-06-20,USD,26.28,2026-06-18,1069030187,2026-04-28,3117565000.0,4040433000.0,,,,2549996000.0,,28188653000,16787100000,480206000,2.80941e+10,4.4401e+10,,,9.01156,6.95324,0.996646,,,0.7716,,0.0408,0.1792,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_reit_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
BASKET_AVG,,current,2026-06-20,USD,,,,,,,,,,,,,,,,,,,47.8255,11.4155,2.82929,23.0189,0.0459739,0.218,,0.0824,0.431,Nasdaq historical API close; price-only refresh,latest local current snapshots; not SEC-refetched,aggregate,median over price-only refreshed company observations; provisional if company filed new facts after base snapshot
