metric,five_year_average,n_companies,n_observations,status,comment
pe,15.74505,6,15,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ps,1.59485,6,16,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
pb,3.3385,6,16,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
ev_ebitda,16.8694,2,6,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
fcf_yield,0.079354,4,11,ok,"two-level median: per-company 5Y median, then median across companies; price ratios exclude non-positive values and non-USD filers; excluded from price metrics: none"
net_margin,0.1304,7,35,ok,"two-level median: per-company 5Y median, then median across companies"
gross_margin,,0,0,missing,no valid observations across the basket
revenue_growth_yoy,0.1105,7,35,ok,"two-level median: per-company 5Y median, then median across companies"
earnings_growth_yoy,0.0809,7,35,ok,"two-level median: per-company 5Y median, then median across companies"
