metric,value,n_companies,n_observations,status,comment
pe,59.351,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,10.282,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.5881,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,20.6254,4,4,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.020892,2,2,ok,MEDIAN current TTM snapshot as of 2025-09-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.2398,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0575,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10
earnings_growth_yoy,0.0857,7,7,ok,MEDIAN current TTM snapshot as of 2025-09-10
