symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AAPL,0000320193,current,2025-12-27,USD,260.48,2026-04-10,14681140000,2026-01-16,117777000000.0,435617000000.0,206157000000.0,141070000000.0,11832000000.0,135472000000.0,12148000000.0,88190000000,88500000000,45317000000,3824143347200.0,3867326347200.0,152902000000.0,123324000000.0,32.4694,8.7787,43.3626,25.2928,0.032249,0.2704,0.4733,0.1007,0.2249,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
MSFT,0000789019,current,2025-12-31,USD,370.87,2026-04-10,7425629076,2026-01-22,119262000000.0,305453000000.0,209499000000.0,142559000000.0,,160506000000.0,83094000000.0,390875000000,40262000000,24296000000,2753943055416.0,2769909055416.0,,77412000000.0,23.0915,9.0159,7.0456,,0.02811,0.3904,0.6859,0.1667,0.2858,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
GOOG,0001652044,current,2025-12-31,USD,315.72,2026-04-10,12088000000,2025-12-31,132170000000.0,402837000000.0,,129039000000.0,,164713000000.0,91447000000.0,415265000000,49085000000,30708000000,3816423360000.0,3834800360000.0,,73266000000.0,28.8751,9.4739,9.1903,,0.019198,0.3281,,0.1509,0.3201,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
META,0001326801,current,2025-12-31,USD,629.86,2026-04-10,2574000000,2025-12-31,60458000000.0,200965000000.0,,83276000000.0,18616000000.0,115800000000.0,69691000000.0,217243000000,58744000000,35873000000,1621259640000.0,1644130640000.0,101892000000.0,46109000000.0,26.8163,8.0674,7.4629,16.136,0.02844,0.3008,,0.2217,-0.0305,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
ADBE,0000796343,current,2026-02-27,USD,225.35,2026-04-10,404200000,2026-03-20,7208000000.0,24453000000.0,21860000000.0,8961000000.0,775000000.0,10507000000.0,190000000.0,11433000000,5379000000,6332000000,91086470000.0,90133470000.0,9736000000.0,10317000000.0,12.6369,3.725,7.967,9.2578,0.113266,0.2948,0.894,0.1096,0.0677,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
CRM,0001108524,current,2026-01-31,USD,164.96,2026-04-10,923000000,2026-02-25,7457000000.0,41525000000.0,32255000000.0,8331000000.0,1200000000.0,14996000000.0,594000000.0,59142000000,14439000000,7327000000,152258080000.0,159370080000.0,9531000000.0,14402000000.0,20.4181,3.6667,2.5744,16.7212,0.094589,0.1796,0.7768,0.0958,0.2033,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
NOW,0001373715,current,2025-12-31,USD,83.0,2026-04-10,1046000000,2026-01-23,1748000000.0,13278000000.0,10295000000.0,1824000000.0,738000000.0,5444000000.0,868000000.0,12964000000,,3726000000,86818000000.0,83092000000.0,2562000000.0,4576000000.0,49.667,6.5385,6.6969,32.4325,0.052708,0.1316,0.7753,0.2088,0.2267,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
ACN,0001467373,current,2026-02-28,USD,179.53,2026-04-10,624584101,2026-02-28,7648264000.0,72110322000.0,,10399718000.0,,13080248000.0,583289000.0,31210676000,5030322000,9399183000,112131583653.0,107762722653.0,,12496959000.0,14.6611,1.555,3.5927,,0.111449,0.1061,,0.0727,-0.0046,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
IBM,0000051143,current,2025-12-31,USD,230.76,2026-04-10,938034404,2026-02-10,10593000000.0,67535000000.0,39296000000.0,,,13193000000.0,1091000000.0,32648000000,54836000000,13587000000,216460819067.0,257709819067.0,,12102000000.0,20.4343,3.2052,6.6301,,0.055909,0.1569,0.5819,0.0762,0.7588,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-10,ok,
BASKET_AVG,,current,2026-04-10,USD,,,,,,,,,,,,,,,,,,,23.0915,6.5385,7.0456,16.7212,0.052708,0.2704,0.7306,0.1096,0.2249,Twelve Data latest close,current TTM basket median filed<=2026-04-10,aggregate,median over current company observations with valid values
