metric,value,n_companies,n_observations,status,comment
pe,10.7795,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.3251,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.0945,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,6.9002,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.088454,6,6,ok,MEDIAN current TTM snapshot as of 2025-07-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.1271,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0133,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10
earnings_growth_yoy,0.3619,7,7,ok,MEDIAN current TTM snapshot as of 2025-07-10
