symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AMZN,0001018724,current,2025-09-30,USD,248.4,2025-11-10,10690216011,2025-10-22,76482000000.0,691330000000.0,,76201000000.0,61916000000.0,130691000000.0,120131000000.0,369631000000,55097000000,66922000000,2655449657132.0,2643624657132.0,138117000000.0,10560000000.0,34.7199,3.8411,7.1841,19.1405,0.003977,0.1106,,0.1148,0.5337,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
HD,0000354950,current,2025-08-03,USD,370.43,2025-11-10,995386647,2025-08-19,14629000000.0,165054000000.0,55043000000.0,21601000000.0,3320000000.0,17872000000.0,3642000000.0,10665000000,45917000000,2804000000,368721075648.0,411834075648.0,24921000000.0,14230000000.0,25.2048,2.2339,34.573,16.5256,0.038593,0.0886,0.3335,0.0852,-0.0097,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
LOW,0000060667,current,2025-08-01,USD,233.03,2025-11-10,560824905,2025-08-26,6858000000.0,83613000000.0,27980000000.0,10329000000.0,1908000000.0,9820000000.0,2132000000.0,-11400000000,30548000000,4860000000,130689027612.0,156377027612.0,12237000000.0,7688000000.0,19.0564,1.563,-11.4639,12.779,0.058827,0.082,0.3346,-0.0049,-0.0105,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
NKE,0000320187,current,2025-08-31,USD,60.8,2025-11-10,1479000000,2025-08-31,2895000000.0,46440000000.0,19476000000.0,,,3526000000.0,517000000.0,13468000000,7961000000,7024000000,89923200000.0,90860200000.0,,3009000000.0,31.0616,1.9363,6.6768,,0.033462,0.0623,0.4194,-0.0714,-0.4539,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
MCD,0000063908,current,2025-09-30,USD,299.1,2025-11-10,712154350,2025-09-30,8415000000.0,26265000000.0,,12105000000.0,470000000.0,10485000000.0,3113000000.0,-2163000000,38424000000,2413000000,213005366085.0,249016366085.0,12575000000.0,7372000000.0,25.3126,8.1099,-98.4768,19.8025,0.034609,0.3204,,0.0126,0.0206,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
LULU,0001397187,current,2025-08-03,USD,170.35,2025-11-10,113468082,2025-08-29,1785750000.0,10904036000.0,6443886000.0,2495268000.0,481436000.0,1911771000.0,743626000.0,4387279000,,1155794000,19329287769.0,18173493769.0,2976704000.0,1168145000.0,10.8242,1.7727,4.4058,6.1052,0.060434,0.1638,0.591,0.0916,0.0939,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-11-10,ok,
BASKET_AVG,,current,2025-11-10,USD,,,,,,,,,,,,,,,,,,,25.2587,2.0851,6.93045,16.5256,0.036601,0.0996,0.377,0.0489,0.00545,Twelve Data latest close,current TTM basket median filed<=2025-11-10,aggregate,median over current company observations with valid values
