metric,value,n_companies,n_observations,status,comment
pe,12.7695,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,1.4268,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,1.8294,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,5.1102,1,1,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.063962,3,3,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.1153,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,-0.0375,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10
earnings_growth_yoy,-0.1404,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10
