symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
UNH,0000731766,current,2026-06-30,USD,388.28,2026-09-10,897594847,2026-07-31,14873000000.0,450129000000.0,,21676000000.0,4285000000.0,27017000000.0,3400000000.0,104513000000,77681000000,28585000000,348518127193.0,397614127193.0,25961000000.0,23617000000.0,23.4329,0.7743,3.3347,15.3158,0.067764,0.033,,0.0646,-0.328,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
PGR,0000080661,current,2026-06-30,USD,216.19,2026-09-10,581371770,2026-07-02,11695000000.0,91055000000.0,,,,16339000000.0,388000000.0,34333000000,8387000000,193000000,125686762956.0,133880762956.0,,15951000000.0,10.7471,1.3803,3.6608,,0.126911,0.1284,,0.1049,0.1211,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
CB,0000896159,current,,USD,338.67,2026-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,missing,no shares fact filed/end<=as_of across current fallbacks (dei:EntityCommonStockSharesOutstanding has no shares unit; us-gaap:CommonStockSharesOutstanding has no shares unit; us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding has no shares unit; us-gaap:WeightedAverageNumberOfSharesOutstandingBasic has no shares unit); no clean TTM net_income: no quarterly/YTD facts filed<=as_of (0 quarters); no clean TTM revenue: no quarterly/YTD facts filed<=as_of (0 quarters); no non-stale equity instant filed<=as_of
AIG,0000005272,current,2026-06-30,USD,75.03,2026-09-10,522893169,2026-07-31,2965000000.0,26636000000.0,,,3494000000.0,3850000000.0,,40606000000,9191000000,1565000000,39232674470.0,46858674470.0,,,13.2319,1.4729,0.9662,,,0.1113,,-0.0419,-0.0731,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
ALL,0000899051,current,2026-06-30,USD,251.79,2026-09-10,252857950,2026-07-16,13189000000.0,70137000000.0,,,410000000.0,12469000000.0,220000000.0,33698000000,7492000000,840000000,63667103230.0,70319103230.0,,12249000000.0,4.8273,0.9078,1.8893,,0.192391,0.188,,0.0592,1.3118,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
BRK-B,0001067983,current,2026-06-30,USD,,,1643118,2015-09-30,85841000000.0,259733000000.0,,,13998000000.0,46634000000.0,22419000000.0,747910000000,,41360000000,,,,24215000000.0,,,,,,0.3305,,0.0573,0.3628,missing,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,partial,"nasdaq: no historical rows ({'rCode': 400, 'bCodeMessage': [{'code': 1001, 'errorMessage': 'Symbol not exists.'}], 'developerMessage': None})"
MRSH,0000062709,current,2026-06-30,USD,177.29,2026-09-10,477211268,2026-07-16,3980000000.0,27947000000.0,,6042000000.0,361000000.0,5078000000.0,311000000.0,15433000000,19537000000,1700000000,84604785704.0,102441785704.0,6403000000.0,4767000000.0,21.2575,3.0273,5.4821,15.999,0.056344,0.1424,,0.0833,-0.0356,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
BASKET_AVG,,current,2026-09-11,USD,,,,,,,,,,,,,,,,,,,13.2319,1.3803,3.3347,15.6574,0.097337,0.1354,,0.0619,0.04275,current EOD close,current TTM basket median; refresh_mode=incremental,aggregate,median over current company observations; refresh_mode=incremental
