date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2025-08-10,Banks,1.5486,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20250810_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.6378 x 63.6% | pe: 1.3924 x 36.4%
2025-10-10,Banks,1.6326,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20251010_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.7356 x 63.6% | pe: 1.4524 x 36.4%
2025-12-10,Banks,1.7949,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20251210_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.9956 x 63.6% | pe: 1.4437 x 36.4%
2026-02-10,Banks,1.8941,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260210_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.1298 x 63.6% | pe: 1.4817 x 36.4%
2026-04-10,Banks,1.8258,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260410_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.0065 x 63.6% | pe: 1.5094 x 36.4%
2026-06-20,Banks,2.0492,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260620_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2282 x 63.6% | pe: 1.7360 x 36.4%
2026-08-10,Banks,1.9845,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260810_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2844 x 63.6% | pe: 1.4597 x 36.4%
2026-09-10,Banks,1.9546,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260910_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2518 x 63.6% | pe: 1.4344 x 36.4%
2024-10-10,Commodities,1.2455,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20241010_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.0436 x 29.4% | fcf_yield: 1.7122 x 23.5% | pb: 1.3238 x 23.5% | pe: 0.9528 x 23.5%
2024-12-10,Commodities,0.9586,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20241210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.8634 x 29.4% | fcf_yield: 1.1359 x 23.5% | pb: 1.0898 x 23.5% | pe: 0.7689 x 23.5%
2025-02-10,Commodities,0.9078,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20250210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.8078 x 29.4% | fcf_yield: 1.0752 x 23.5% | pb: 1.0567 x 23.5% | pe: 0.7164 x 23.5%
2025-04-10,Commodities,0.741,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20250410_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.6648 x 29.4% | fcf_yield: 0.6917 x 23.5% | pb: 0.9605 x 23.5% | pe: 0.6662 x 23.5%
2025-06-10,Commodities,0.8362,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20250610_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.7987 x 29.4% | fcf_yield: 0.8355 x 23.5% | pb: 1.1356 x 23.5% | pe: 0.5842 x 23.5%
2025-08-10,Commodities,0.8461,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20250810_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.8010 x 29.4% | fcf_yield: 0.8375 x 23.5% | pb: 1.2135 x 23.5% | pe: 0.5436 x 23.5%
2025-10-10,Commodities,0.9618,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20251010_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.9174 x 29.4% | fcf_yield: 1.0467 x 23.5% | pb: 1.3153 x 23.5% | pe: 0.5789 x 23.5%
2025-12-10,Commodities,1.2008,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20251210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.3924 x 29.4% | fcf_yield: 1.3315 x 23.5% | pb: 1.4298 x 23.5% | pe: 0.6016 x 23.5%
2026-02-10,Commodities,1.632,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.9133 x 29.4% | fcf_yield: 1.8277 x 23.5% | pb: 1.8977 x 23.5% | pe: 0.8192 x 23.5%
2026-04-10,Commodities,1.4685,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260410_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.6755 x 29.4% | fcf_yield: 1.2970 x 23.5% | pb: 1.9377 x 23.5% | pe: 0.9118 x 23.5%
2026-06-20,Commodities,1.4475,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260620_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.5053 x 29.4% | fcf_yield: 1.2587 x 23.5% | pb: 1.7651 x 23.5% | pe: 1.2465 x 23.5%
2026-08-10,Commodities,1.3398,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260810_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.4013 x 29.4% | fcf_yield: 0.6592 x 23.5% | pb: 1.8308 x 23.5% | pe: 1.4526 x 23.5%
2026-09-10,Commodities,1.3454,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260910_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.3497 x 29.4% | fcf_yield: 0.6882 x 23.5% | pb: 1.8985 x 23.5% | pe: 1.4442 x 23.5%
2024-10-10,Consumer Discretionary,0.796,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20241010_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.7811 x 33.3% | ev_ebitda: 0.8388 x 27.8% | ps: 0.8275 x 22.2% | fcf_yield: 0.7126 x 16.7%
2024-12-10,Consumer Discretionary,0.8634,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20241210_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.8333 x 33.3% | ev_ebitda: 0.8549 x 27.8% | ps: 0.9161 x 22.2% | fcf_yield: 0.8673 x 16.7%
2025-02-10,Consumer Discretionary,0.8624,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20250210_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.8467 x 33.3% | ev_ebitda: 0.8393 x 27.8% | ps: 0.9164 x 22.2% | fcf_yield: 0.8603 x 16.7%
2025-04-10,Consumer Discretionary,0.6771,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20250410_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.6583 x 33.3% | ev_ebitda: 0.7003 x 27.8% | ps: 0.7018 x 22.2% | fcf_yield: 0.6430 x 16.7%
2025-06-10,Consumer Discretionary,0.7294,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20250610_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.7276 x 33.3% | ev_ebitda: 0.7424 x 27.8% | ps: 0.7021 x 22.2% | fcf_yield: 0.7478 x 16.7%
2025-08-10,Consumer Discretionary,0.7901,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20250810_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.8255 x 33.3% | ev_ebitda: 0.7782 x 27.8% | ps: 0.6664 x 22.2% | fcf_yield: 0.9042 x 16.7%
2025-10-10,Consumer Discretionary,0.7622,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20251010_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.8017 x 33.3% | ev_ebitda: 0.7490 x 27.8% | ps: 0.6092 x 22.2% | fcf_yield: 0.9096 x 16.7%
2025-12-10,Consumer Discretionary,0.7382,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20251210_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.7927 x 33.3% | ev_ebitda: 0.7088 x 27.8% | ps: 0.5889 x 22.2% | fcf_yield: 0.8774 x 16.7%
2026-02-10,Consumer Discretionary,0.7782,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20260210_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.8548 x 33.3% | ev_ebitda: 0.7195 x 27.8% | ps: 0.6088 x 22.2% | fcf_yield: 0.9490 x 16.7%
2026-04-10,Consumer Discretionary,0.7188,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20260410_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.7743 x 33.3% | ev_ebitda: 0.7019 x 27.8% | ps: 0.5149 x 22.2% | fcf_yield: 0.9078 x 16.7%
2026-06-20,Consumer Discretionary,0.6858,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20260620_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.7307 x 33.3% | ev_ebitda: 0.6963 x 27.8% | ps: 0.4859 x 22.2% | fcf_yield: 0.8453 x 16.7%
2026-08-10,Consumer Discretionary,0.6628,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20260810_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.6642 x 33.3% | ev_ebitda: 0.7270 x 27.8% | ps: 0.4892 x 22.2% | fcf_yield: 0.7844 x 16.7%
2026-09-10,Consumer Discretionary,0.5755,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_consumer_discretionary_current_20260910_summary.csv; norm fyn_consumer_discretionary_norm_summary.csv,status=ok; pe: 0.5920 x 33.3% | ev_ebitda: 0.6330 x 27.8% | ps: 0.4240 x 22.2% | fcf_yield: 0.6485 x 16.7%
2024-10-10,Delivery & Logistics,1.2983,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_delivery_logistics_current_20241010_summary.csv; norm fyn_delivery_logistics_norm_summary.csv,status=ok; ev_ebitda: 0.9376 x 40.0% | pe: 1.9000 x 33.3% | ps: 1.0872 x 26.7%
2024-12-10,Delivery & Logistics,1.4574,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_delivery_logistics_current_20241210_summary.csv; norm fyn_delivery_logistics_norm_summary.csv,status=ok; ev_ebitda: 1.2540 x 40.0% | pe: 1.6693 x 33.3% | ps: 1.4975 x 26.7%
2025-02-10,Delivery & Logistics,1.4476,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_delivery_logistics_current_20250210_summary.csv; norm fyn_delivery_logistics_norm_summary.csv,status=ok; ev_ebitda: 1.1610 x 40.0% | pe: 1.8046 x 33.3% | ps: 1.4312 x 26.7%
2025-04-10,Delivery & Logistics,0.8894,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_delivery_logistics_current_20250410_summary.csv; norm fyn_delivery_logistics_norm_summary.csv,status=ok; ev_ebitda: 0.7654 x 40.0% | pe: 0.9892 x 33.3% | ps: 0.9506 x 26.7%
2025-06-10,Delivery & Logistics,1.0388,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_delivery_logistics_current_20250610_summary.csv; norm fyn_delivery_logistics_norm_summary.csv,status=ok; ev_ebitda: 0.9667 x 40.0% | pe: 0.9784 x 33.3% | ps: 1.2225 x 26.7%
