metric,value,n_companies,n_observations,status,comment
pe,27.7566,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,6.4012,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,8.2038,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,20.9727,5,5,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.054232,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.243,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10
gross_margin,0.7308,6,6,ok,MEDIAN current TTM snapshot as of 2025-08-10
revenue_growth_yoy,0.1063,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10
earnings_growth_yoy,0.1554,9,9,ok,MEDIAN current TTM snapshot as of 2025-08-10
