symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
ABT,0000001800,current,2022-03-31,USD,103.36,2026-09-10,,,,,,,,,,,12929000000,,,,,,,,,,,,,,,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",missing,no shares fact filed/end<=as_of across current fallbacks (dei:EntityCommonStockSharesOutstanding has no shares unit; us-gaap:CommonStockSharesOutstanding unavailable; us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding has no shares unit; us-gaap:WeightedAverageNumberOfSharesOutstandingBasic has no shares unit); no clean TTM net_income: latest TTM quarter is stale (8 quarters); no clean TTM revenue: no quarterly/YTD facts filed<=as_of (0 quarters); no non-stale equity instant filed<=as_of; prices-only refresh from fyn_medical_services_current_20260810.csv
ISRG,0001035267,current,2026-06-30,USD,360.46,2026-09-10,353278038,2026-07-16,3138800000.0,11034400000.0,7357600000.0,3451200000.0,,3706400000.0,483800000.0,18168400000,,2760400000,127342601577.0,124582201577.0,,3222600000.0,40.5705,11.5405,7.009,,0.025307,0.2845,0.6668,0.2066,0.2037,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",ok,prices-only refresh from fyn_medical_services_current_20260810.csv
SYK,0000310764,current,2026-06-30,USD,270.01,2026-09-10,383573046,2026-06-30,3729000000.0,25837000000.0,16788000000.0,5534000000.0,1621000000.0,5525000000.0,823000000.0,23988000000,14942000000,3391000000,103568558150.0,115119558150.0,7155000000.0,4702000000.0,27.7738,4.0085,4.3175,16.0894,0.0454,0.1443,0.6498,0.0848,0.2779,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",ok,prices-only refresh from fyn_medical_services_current_20260810.csv
MDT,0001613103,current,2026-07-31,USD,91.62,2026-09-10,1279137890,2026-08-28,437004801.0,37541000000.0,,6787000000.0,2939000000.0,8035000000.0,1903000000.0,50232000000,25617000000,1691000000,117194613482.0,141120613482.0,9726000000.0,6132000000.0,268.1769,3.1218,2.3331,14.5096,0.052323,0.0116,,0.0977,71.7776,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-10,ok,
BSX,0000885725,current,2026-06-30,USD,43.1,2026-09-10,1449229526,2026-07-30,3669000000.0,20996000000.0,14683000000.0,4152000000.0,1413000000.0,4529000000.0,904000000.0,24930000000,10915000000,539000000,62461792571.0,72837792571.0,5565000000.0,3625000000.0,17.0242,2.9749,2.5055,13.0886,0.058035,0.1747,0.6993,0.1353,0.4694,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",ok,prices-only refresh from fyn_medical_services_current_20260810.csv
TMO,0000097745,current,2026-06-27,USD,603.18,2026-09-10,369747286,2026-06-27,6984000000.0,46336000000.0,,8146000000.0,,9013000000.0,1695000000.0,52679000000,39181000000,4064000000,223024167969.0,258141167969.0,,7318000000.0,31.9336,4.8132,4.2336,,0.032813,0.1507,,0.0723,0.0603,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",ok,prices-only refresh from fyn_medical_services_current_20260810.csv
ALGN,0001097149,current,2026-06-30,USD,150.72,2026-09-10,71039852,2026-07-31,413227000.0,4139532000.0,2816805000.0,547590000.0,254391000.0,755696000.0,122127000.0,4232453000,,1102591000,10707126493.0,9604535493.0,801981000.0,633569000.0,25.911,2.5866,2.5298,11.976,0.059173,0.0998,0.6805,0.0441,-0.0549,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-08-10; reused, not refetched for 2026-09-10 prices-only update",ok,prices-only refresh from fyn_medical_services_current_20260810.csv
BASKET_AVG,,current,2026-09-10,USD,,,,,,,,,,,,,,,,,,,29.8537,3.56515,3.3817,13.7991,0.048862,0.1475,0.67365,0.09125,0.2408,current EOD close,current TTM basket median; refresh_mode=incremental,aggregate,median over current company observations; refresh_mode=incremental
