metric,value,n_companies,n_observations,status,comment
pe,16.1983,5,5,ok,MEDIAN current TTM snapshot as of 2026-06-06; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,3.0061,2,2,ok,MEDIAN current TTM snapshot as of 2026-06-06; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.2992,5,5,ok,MEDIAN current TTM snapshot as of 2026-06-06; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,,0,0,missing,no valid current observations across the basket; excluded from price metrics: none
fcf_yield,,0,0,missing,no valid current observations across the basket; excluded from price metrics: none
net_margin,0.22055,2,2,ok,MEDIAN current TTM snapshot as of 2026-06-06
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.06355,2,2,ok,MEDIAN current TTM snapshot as of 2026-06-06
earnings_growth_yoy,0.146,5,5,ok,MEDIAN current TTM snapshot as of 2026-06-06
