symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
NFLX,0001065280,current,2024-12-31,USD,102.76,2025-02-10,427757100,2024-12-31,8711631000.0,39000966000.0,,10417614000.0,328914000.0,7361364000.0,439538000.0,24743567000,,7804733000,43956319596.0,36151586596.0,10746528000.0,6921826000.0,5.0457,1.1271,1.7765,3.364,0.157471,0.2234,,0.1565,0.6109,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
DIS,0001744489,current,2024-12-28,USD,109.28,2025-02-10,1807788865,2025-01-29,5615000000.0,92502000000.0,,16785000000.0,5023000000.0,14991000000.0,6579000000.0,101933000000,45815000000,5486000000,197555167167.0,237884167167.0,21808000000.0,8412000000.0,35.1835,2.1357,1.9381,10.9081,0.042581,0.0607,,0.0401,0.8804,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
CMCSA,0001166691,current,2024-12-31,USD,32.3579,2025-02-10,3908000000,2024-12-31,16192000000.0,123730000000.0,,23297000000.0,14802000000.0,27673000000.0,12181000000.0,85560000000,94186000000,7322000000,126454673200.0,213318673200.0,38099000000.0,15492000000.0,7.8097,1.022,1.478,5.5991,0.12251,0.1309,,0.0178,0.0522,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
VZ,0000732712,current,2024-09-30,USD,39.95,2025-02-10,4209626270,2024-09-30,9796000000.0,134237000000.0,,21865000000.0,17902000000.0,35157000000.0,,97668000000,128878000000,4987000000,168174569486.0,292065569486.0,39767000000.0,,17.1677,1.2528,1.7219,7.3444,,0.073,,0.0011,-0.5312,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
T,0000732717,current,2024-09-30,USD,24.86,2025-02-10,7175289157,2024-10-24,9056000000.0,122060000000.0,,18994000000.0,19972000000.0,38253000000.0,18021000000.0,116282000000,126375000000,2586000000,178377688443.0,302166688443.0,38966000000.0,20232000000.0,19.6972,1.4614,1.534,7.7546,0.113422,0.0742,,0.0026,-1.8011,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
TMUS,0001283699,current,2024-12-31,USD,255.83,2025-02-10,1141744952,2025-01-24,11339000000.0,81400000000.0,,18010000000.0,12919000000.0,22293000000.0,8840000000.0,61741000000,78265000000,5409000000,292092611070.0,364948611070.0,30929000000.0,13453000000.0,25.76,3.5884,4.7309,11.7996,0.046057,0.1393,,0.0362,0.3634,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
SPOT,0001639920,current,,EUR,637.69,2025-02-10,203844409,2024-12-31,,,,,,,,5525000000,,4781000000,129989541175.0,125208541175.0,,,,,,,,,,,,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,missing,no clean TTM net_income: no quarterly/YTD facts filed<=as_of (0 quarters); no clean TTM revenue: no quarterly/YTD facts filed<=as_of (0 quarters); price-based ratios suppressed: SEC entityType=other (foreign/ADR entity not in US-only price basket)
CHTR,0001091667,current,2024-12-31,USD,343.73,2025-02-10,145363771,2024-12-31,5449000000.0,55085000000.0,,13118000000.0,8673000000.0,14430000000.0,11269000000.0,15587000000,93933000000,459000000,49965889006.0,143439889006.0,21791000000.0,3161000000.0,9.1697,0.9071,3.2056,6.5825,0.063263,0.0989,,0.0088,0.11,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-02-10,ok,
BASKET_AVG,,current,2025-02-10,USD,,,,,,,,,,,,,,,,,,,17.1677,1.2528,1.7765,7.3444,0.088342,0.0989,,0.0178,0.11,Twelve Data latest close,current TTM basket median filed<=2025-02-10,aggregate,median over current company observations with valid values
