symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
ABT,0000001800,current,2026-06-20,USD,88.41,2026-06-18,1741812429,2026-03-31,6276000000.0,45134000000.0,,7705000000.0,,9464000000.0,2086000000.0,52061000000,12929000000,6803000000,1.53994e+11,1.6012e+11,,7378000000.0,24.5369,3.41192,2.95795,,0.0479111,0.1391,,0.0659,-0.5352,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
ISRG,0001035267,current,2026-06-20,USD,406.78,2026-06-18,354162842,2026-04-15,2979100000.0,10582100000.0,7015100000.0,3222700000.0,,3360800000.0,526500000.0,17474500000,,2006500000,1.44066e+11,1.4206e+11,,2834300000.0,48.359,13.6142,8.24438,,0.0196736,0.2815,0.6629,0.2143,0.2031,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
SYK,0000310764,current,2026-06-20,USD,307.8,2026-06-18,382688675,2026-01-31,3246000000.0,25116000000.0,16065000000.0,4889000000.0,1570000000.0,5044000000.0,761000000.0,22420000000,15859000000,4011000000,1.17792e+11,1.2964e+11,6459000000.0,4283000000.0,36.2882,4.6899,5.25386,20.0712,0.0363608,0.1292,0.6396,0.1116,0.0845,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
MDT,0001613103,current,2026-06-20,USD,79.34,2026-06-18,1283884964,2026-02-18,4627000000.0,35483000000.0,,6031000000.0,3082000000.0,7285000000.0,1875000000.0,48985000000,27880000000,1147000000,1.01863e+11,1.28596e+11,9113000000.0,5410000000.0,22.015,2.87077,2.07948,14.1113,0.0531103,0.1304,,0.0688,0.0823,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
BSX,0000885725,current,2026-06-20,USD,45.29,2026-06-18,1486355179,2026-04-29,3559000000.0,20615000000.0,14259000000.0,3793000000.0,1394000000.0,4341000000.0,866000000.0,25864000000,10988000000,1453000000,6.7317e+10,7.6852e+10,5187000000.0,3475000000.0,18.9146,3.26544,2.60273,14.8163,0.0516214,0.1726,0.6917,0.1744,0.7584,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
TMO,0000097745,current,2026-06-20,USD,464.61,2026-06-18,371621465,2026-03-28,6865000000.0,45197000000.0,,7893000000.0,,8287000000.0,1539000000.0,51934000000,40071000000,3254000000,1.72659e+11,2.09476e+11,,6748000000.0,25.1506,3.82014,3.32459,,0.0390828,0.1519,,0.0536,0.0532,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
ALGN,0001097149,current,2026-06-20,USD,182.08,2026-06-18,71618127,2026-05-01,429541000.0,4095789000.0,2767492000.0,556610000.0,254836000.0,691589000.0,107941000.0,4149419000,,1059834000,1.30402e+10,1.19804e+10,811446000.0,583648000.0,30.3585,3.18381,3.14266,14.7643,0.0447575,0.1049,0.6757,0.0289,0.0497,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_medical_services_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
BASKET_AVG,,current,2026-06-20,USD,,,,,,,,,,,,,,,,,,,25.1506,3.41192,3.14266,14.7903,0.0447575,0.1391,0.6693,0.0688,0.0834,Nasdaq historical API close; price-only refresh,latest local current snapshots; not SEC-refetched,aggregate,median over price-only refreshed company observations; provisional if company filed new facts after base snapshot
