symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
JPM,0000019617,current,2025-12-31,USD,313.23,2026-04-30,2697032375,2026-01-31,57000000000.0,,,,8821000000.0,-147782000000.0,,362438000000,,343338000000,844791450821.0,501453450821.0,,,14.8209,,2.3309,,,,,,-0.0256,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-30,ok,no clean TTM revenue: latest TTM quarter is stale (8 quarters)
BAC,0000070858,current,2025-12-31,USD,53.46,2026-04-30,7176682170,2026-02-24,30509000000.0,113097000000.0,,,2314000000.0,12613000000.0,,303243000000,317816000000,231845000000,383665428808.0,469636428808.0,,,12.5755,3.3924,1.2652,,,0.2698,,0.0684,0.1311,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-30,ok,
C,0000831001,current,2025-12-31,USD,127.98,2026-04-30,1749319009,2026-01-31,14306000000.0,85225000000.0,,,4373000000.0,-67632000000.0,6520000000.0,212291000000,315827000000,349579000000,223877846772.0,190125846772.0,,-74152000000.0,15.6492,2.6269,1.0546,,-0.331216,0.1679,,0.0558,0.1281,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-30,ok,
GS,0000886982,current,2025-12-31,USD,923.77,2026-04-30,296752922,2026-02-06,17176000000.0,,,,2182000000.0,-45154000000.0,2064000000.0,124972000000,355959000000,164259000000,274131446756.0,465831446756.0,,-47218000000.0,15.9601,,2.1935,,-0.172246,,,,0.2031,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-30,ok,no clean TTM revenue: no quarterly/YTD facts filed<=as_of (0 quarters)
MS,0000895421,current,2025-12-31,USD,190.59,2026-04-30,1587860206,2026-01-31,16861000000.0,,,,4658000000.0,-17889000000.0,,111632000000,341681000000,111695000000,302630276662.0,532616276662.0,,,17.9485,,2.711,,,,,,0.2592,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-04-30,ok,no clean TTM revenue: latest TTM quarter is stale (8 quarters)
BASKET_AVG,,current,2026-04-30,USD,,,,,,,,,,,,,,,,,,,15.6492,3.00965,2.1935,,,0.21885,,0.0621,0.1311,Twelve Data latest close,current TTM basket median filed<=2026-04-30,aggregate,median over current company observations with valid values
