metric,value,n_companies,n_observations,status,comment
pe,18.4373,2,2,ok,MEDIAN current TTM snapshot as of 2025-02-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,2.6584,4,4,ok,MEDIAN current TTM snapshot as of 2025-02-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,2.46475,4,4,ok,MEDIAN current TTM snapshot as of 2025-02-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,9.8122,2,2,ok,MEDIAN current TTM snapshot as of 2025-02-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.033515,3,3,ok,MEDIAN current TTM snapshot as of 2025-02-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.0577,4,4,ok,MEDIAN current TTM snapshot as of 2025-02-10
gross_margin,-0.1199,1,1,ok,MEDIAN current TTM snapshot as of 2025-02-10
revenue_growth_yoy,0.08665,4,4,ok,MEDIAN current TTM snapshot as of 2025-02-10
earnings_growth_yoy,0.15495,4,4,ok,MEDIAN current TTM snapshot as of 2025-02-10
