symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
XOM,0000034088,current,2026-03-31,USD,149.92,2026-06-05,4144947162,2026-03-31,25314000000.0,334246000000.0,,,27062000000.0,47722000000.0,28930000000.0,254381000000,33130000000,8435000000,621410478527.0,646105478527.0,,18792000000.0,24.5481,1.8591,2.4428,,0.030241,0.0757,,-0.044,-0.2369,Twelve Data time_series adjust=none latest close,SEC EDGAR XBRL companyconcept TTM filed<=2026-06-06,ok,
CVX,0000093410,current,2026-03-31,USD,187.31,2026-06-05,1991597732,2026-03-31,11010000000.0,185887000000.0,,,21817000000.0,31264000000.0,17483000000.0,183715000000,39781000000,6316000000,373046171181.0,406511171181.0,,13781000000.0,33.8825,2.0068,2.0306,,0.036942,0.0592,,-0.0365,-0.2987,Twelve Data time_series adjust=none latest close,SEC EDGAR XBRL companyconcept TTM filed<=2026-06-06,ok,
COP,0001163165,current,2026-03-31,USD,117.14,2026-06-05,1218294007,2026-03-31,7322000000.0,50845000000.0,,,11660000000.0,17976000000.0,,64541000000,22262000000,5877000000,142710959980.0,159095959980.0,,,19.4907,2.8068,2.2112,,,0.144,,-0.0144,-0.2327,Twelve Data time_series adjust=none latest close,SEC EDGAR XBRL companyconcept TTM filed<=2026-06-06,ok,
EOG,0000821189,current,2026-03-31,USD,137.78,2026-06-05,532628530,2026-04-28,5497000000.0,23884000000.0,,7124000000.0,4641000000.0,10721000000.0,,30908000000,,3849000000,73385558863.0,69536558863.0,11765000000.0,,13.3501,3.0726,2.3743,5.9105,,0.2302,,0.0275,-0.0954,Twelve Data time_series adjust=none latest close,SEC EDGAR XBRL companyconcept TTM filed<=2026-06-06,ok,
SLB,0000087347,current,2026-03-31,USD,54.87,2026-06-05,1495057661,2026-03-31,3329000000.0,35940000000.0,,,2688000000.0,6316000000.0,1639000000.0,26177000000,,,82033813859.0,82033813859.0,,4677000000.0,24.6422,2.2825,3.1338,,0.057013,0.0926,,-0.0037,-0.2055,Twelve Data time_series adjust=none latest close,SEC EDGAR XBRL companyconcept TTM filed<=2026-06-06,ok,
BASKET_AVG,,current,2026-06-06,USD,,,,,,,,,,,,,,,,,,,24.5481,2.2825,2.3743,5.9105,0.036942,0.0926,,-0.0144,-0.2327,Twelve Data latest close,current TTM basket median filed<=2026-06-06,aggregate,median over current company observations with valid values
