metric,value,n_companies,n_observations,status,comment
pe,19.8912,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ps,3.2318,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
pb,1.9028,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
ev_ebitda,11.78405,4,4,ok,MEDIAN current TTM snapshot as of 2024-12-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
fcf_yield,0.007441,1,1,ok,MEDIAN current TTM snapshot as of 2024-12-10; price ratios exclude negatives and ADR/foreign-share exceptions; excluded from price metrics: none
net_margin,0.173,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10
gross_margin,,0,0,missing,no valid current observations across the basket
revenue_growth_yoy,0.0143,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10
earnings_growth_yoy,0.1976,5,5,ok,MEDIAN current TTM snapshot as of 2024-12-10
